ID,Case Number,Date,Primary Type,Crime Category,Description,Location Description,Arrest,District,Latitude,Longitude,Year,Month,Month_Name,Day,Hour,DayOfWeek,Day_Name,IsWeekend,IsNight,Hour_sin,Hour_cos,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,X_meters,Y_meters,Grid_Lat,Grid_Lon,Grid_ID,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
1000000,JG785035,2024-02-18 12:45:51,THEFT,Property,THEFT,RESIDENCE,False,District 18,41.87915743858344,-87.62953536941436,2024,2,Feb,18,12,6,Sunday,1,0,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-7253823.1331396885,4656756.271496043,41.88,-87.63,41.88_-87.63,4,0,0
1000001,JG162268,2024-01-07 12:13:55,ASSAULT,Violent,ASSAULT,STREET,False,District 1,41.881448495506405,-87.61565278601272,2024,1,Jan,7,12,6,Sunday,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-7252673.956618302,4657011.025754411,41.88,-87.62,41.88_-87.62,4,0,0
1000002,JG620934,2023-12-28 16:51:34,THEFT,Property,THEFT,CONVENIENCE STORE,False,District 1,41.87112946239172,-87.6371523773005,2023,12,Dec,28,16,3,Thursday,0,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,-7254453.656031049,4655863.600039291,41.87,-87.64,41.87_-87.64,4,0,4
1000003,JG203533,2023-01-17 16:49:30,BATTERY,Violent,BATTERY,STREET,False,District 18,41.86114941184768,-87.62069482444645,2023,1,Jan,17,16,1,Tuesday,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-7253091.327940362,4654753.867518311,41.86,-87.62,41.86_-87.62,4,0,4
1000004,JG504442,2023-02-08 17:05:42,BATTERY,Violent,BATTERY,CONVENIENCE STORE,False,District 15,41.88606344722988,-87.77189369571967,2023,2,Feb,8,17,2,Wednesday,0,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-7265607.312026354,4657524.185681577,41.89,-87.77,41.89_-87.77,0,1,1
1000005,JG248579,2023-07-27 07:08:39,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,APARTMENT,True,District 18,41.8849463004689,-87.62563191346322,2023,7,Jul,27,7,3,Thursday,0,0,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-7253500.011729103,4657399.9644578565,41.88,-87.63,41.88_-87.63,1,0,0
1000006,JG695655,2023-03-06 23:56:20,THEFT,Property,THEFT,RESIDENCE,False,District 15,41.89266662998267,-87.7687160992693,2023,3,Mar,6,23,0,Monday,0,1,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1.0,-7265344.276024367,4658258.427117569,41.89,-87.77,41.89_-87.77,0,1,1
1000007,JG287100,2023-03-18 05:05:46,THEFT,Property,THEFT,SIDEWALK,False,District 1,41.870896953798734,-87.61653584250536,2023,3,Mar,18,5,5,Saturday,1,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-7252747.0545251565,4655837.746227639,41.87,-87.62,41.87_-87.62,4,0,4
1000008,JG992306,2023-10-27 06:21:27,BATTERY,Violent,BATTERY,SIDEWALK,False,District 15,41.87894137366389,-87.76376457540957,2023,10,Oct,27,6,4,Friday,0,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-7264934.397344004,4656732.246139977,41.88,-87.76,41.88_-87.76,0,1,1
1000009,JG237028,2023-04-26 04:51:32,ASSAULT,Violent,ASSAULT,STREET,False,District 1,41.87534659455402,-87.62434911521441,2023,4,Apr,26,4,2,Wednesday,0,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-7253393.823883039,4656332.5243884325,41.88,-87.62,41.88_-87.62,4,0,4
