ID,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
FIR-BENGALURU-2026-00000,2026-03-09 21:08:00,ASSAULT,ASSAULT incident reported in North (Malleswaram),North (Malleswaram),True,North (Malleswaram),13.008075455272435,77.57616042668475
FIR-BENGALURU-2024-00001,2024-08-29 07:11:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.948087137814472,77.61436137500237
FIR-BENGALURU-2025-00002,2025-01-12 16:13:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),True,South East (Koramangala),12.938136750393328,77.63928214345755
FIR-BENGALURU-2023-00003,2023-03-06 03:20:00,OTHER,OTHER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.942531571655474,77.72955476658368
FIR-BENGALURU-2025-00004,2025-12-30 18:30:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.989184489997124,77.77879063974264
FIR-BENGALURU-2024-00005,2024-03-25 15:32:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.945283406404275,77.73993386362793
FIR-BENGALURU-2026-00006,2026-03-04 13:04:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.949346125742597,77.76018931192505
FIR-BENGALURU-2023-00007,2023-09-30 06:35:00,BURGLARY,BURGLARY incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),13.018449372543571,77.56710463211368
FIR-BENGALURU-2023-00008,2023-06-23 14:18:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.984014786192812,77.66694744265548
FIR-BENGALURU-2025-00009,2025-03-30 22:27:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.918421493794565,77.63894110217626
FIR-BENGALURU-2025-00010,2025-08-07 20:52:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.929686951456867,77.61411368065697
FIR-BENGALURU-2023-00011,2023-07-27 17:37:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),True,East (Indiranagar),12.991340097575009,77.67740370015053
FIR-BENGALURU-2024-00012,2024-08-19 14:02:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.969283543798623,77.62686026152728
FIR-BENGALURU-2023-00013,2023-04-14 11:22:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.999622971552377,77.57032869820736
FIR-BENGALURU-2023-00014,2023-05-11 08:18:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.953291516916456,77.74352357024598
FIR-BENGALURU-2025-00015,2025-01-14 09:21:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.941403194693578,77.57820746026074
FIR-BENGALURU-2025-00016,2025-02-15 12:34:00,ASSAULT,ASSAULT incident reported in East (Indiranagar),East (Indiranagar),True,East (Indiranagar),13.002003858028452,77.64148778974615
FIR-BENGALURU-2024-00017,2024-10-01 07:01:00,ROBBERY,ROBBERY incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.981077454952256,77.61437435068852
FIR-BENGALURU-2026-00018,2026-06-25 09:33:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.946347862974763,77.64112505054017
FIR-BENGALURU-2024-00019,2024-04-27 05:38:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.93817838519625,77.62362077906668
FIR-BENGALURU-2024-00020,2024-08-13 01:24:00,CYBER,CYBER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.960373072332146,77.73713016073187
FIR-BENGALURU-2023-00021,2023-06-08 08:08:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.945121405844816,77.62331736702895
FIR-BENGALURU-2026-00022,2026-01-04 18:37:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.945371141328922,77.58912545561581
FIR-BENGALURU-2023-00023,2023-12-27 06:36:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.898815565590807,77.58860757997807
FIR-BENGALURU-2025-00024,2025-06-30 18:51:00,OTHER,OTHER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.974363219356135,77.58156042569198
FIR-BENGALURU-2024-00025,2024-12-09 19:16:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),True,Central (Majestic/MG Road),12.962760521263391,77.58946471304272
FIR-BENGALURU-2024-00026,2024-03-28 03:31:00,BURGLARY,BURGLARY incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.923534551875765,77.57724607025473
