ID,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
83564554/2024,2024-05-20 15:23:00,THEFT,THEFT incident reported in South West Delhi (Dwarka),South West Delhi (Dwarka),False,South West Delhi (Dwarka),28.584854073132373,77.08203651142799
"FIR No. 0513/2025, P.S. Connaught Place",2025-05-06 02:06:00,ROBBERY,ROBBERY incident reported in Central Delhi (Connaught Place),Central Delhi (Connaught Place),False,Central Delhi (Connaught Place),28.62624010733749,77.20613347799403
"FIR No. 0158/2023, P.S. Preet Vihar",2023-04-09 16:34:00,THEFT,THEFT incident reported in East Delhi (Preet Vihar),East Delhi (Preet Vihar),False,East Delhi (Preet Vihar),28.63841187121397,77.30517155541648
86507161/2023,2023-08-27 01:44:00,ASSAULT,ASSAULT incident reported in East Delhi (Preet Vihar),East Delhi (Preet Vihar),False,East Delhi (Preet Vihar),28.637213759974067,77.31807588698062
"FIR No. 0910/2026, P.S. Dwarka",2026-08-01 14:04:00,THEFT,THEFT incident reported in South West Delhi (Dwarka),South West Delhi (Dwarka),False,South West Delhi (Dwarka),28.5833480206078,77.0466150417909
"FIR No. 0059/2025, P.S. Hauz Khas",2025-01-14 07:18:00,ASSAULT,ASSAULT incident reported in South Delhi (Hauz Khas),South Delhi (Hauz Khas),False,South Delhi (Hauz Khas),28.53810405043229,77.18317526239423
"FIR No. 0791/2026, P.S. Connaught Place",2026-08-25 04:35:00,ROBBERY,ROBBERY incident reported in Central Delhi (Connaught Place),Central Delhi (Connaught Place),False,Central Delhi (Connaught Place),28.615438058367896,77.21664105785689
"FIR No. 0388/2025, P.S. Parliament Street",2025-09-08 16:26:00,BURGLARY,BURGLARY incident reported in New Delhi (Parliament Street),New Delhi (Parliament Street),True,New Delhi (Parliament Street),28.614507441752284,77.22399030414569
"FIR No. 0012/2023, P.S. Hauz Khas",2023-12-13 18:54:00,THEFT,THEFT incident reported in South Delhi (Hauz Khas),South Delhi (Hauz Khas),True,South Delhi (Hauz Khas),28.53777661487282,77.20275051900393
"FIR No. 0026/2025, P.S. Hauz Khas",2025-11-17 13:51:00,ROBBERY,ROBBERY incident reported in South Delhi (Hauz Khas),South Delhi (Hauz Khas),False,South Delhi (Hauz Khas),28.53461103279272,77.197900583006
"FIR No. 0025/2025, P.S. Connaught Place",2025-08-20 04:18:00,THEFT,THEFT incident reported in Central Delhi (Connaught Place),Central Delhi (Connaught Place),True,Central Delhi (Connaught Place),28.635267487955065,77.23140919432119
