ID,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
"FIR No. 0512/2025, P.S. Unknown",2025-07-26 03:32:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.379344305769635,78.4834378348575
"FIR No. 0434/2023, P.S. Unknown",2023-08-02 07:13:00,THEFT,THEFT incident reported in Kolkata City,Kolkata City,True,Kolkata City,22.56919839188681,88.3797046419705
"FIR No. 0719/2025, P.S. Unknown",2025-11-24 22:04:00,ASSAULT,ASSAULT incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.056236033441667,72.87547504093249
"FIR No. 0182/2025, P.S. Unknown",2025-06-09 19:55:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.39945015982454,78.49460367578963
"FIR No. 0029/2024, P.S. Unknown",2024-05-30 15:48:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,True,Hyderabad Metro,17.361984143970624,78.49734854511335
"FIR No. 0415/2026, P.S. Unknown",2026-06-03 16:10:00,ASSAULT,ASSAULT incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.080472065685697,72.86749714400626
"FIR No. 0195/2026, P.S. Unknown",2026-07-30 14:26:00,THEFT,THEFT incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.995173860632669,77.57823744167489
"FIR No. 0047/2024, P.S. Unknown",2024-12-31 14:22:00,OTHER,OTHER incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.989408099083626,77.59718879106482
83875144/2025,2025-09-27 16:24:00,THEFT,THEFT incident reported in Delhi NCR,Delhi NCR,False,Delhi NCR,28.60677264090232,77.20940287727431
80215241/2025,2025-03-03 14:25:00,THEFT,THEFT incident reported in Delhi NCR,Delhi NCR,False,Delhi NCR,28.59863026639313,77.19371207713864
"FIR No. 0538/2025, P.S. Unknown",2025-11-11 05:10:00,BURGLARY,BURGLARY incident reported in Kolkata City,Kolkata City,False,Kolkata City,22.58056231031017,88.33815308761125
"FIR No. 0044/2024, P.S. Unknown",2024-01-13 13:38:00,ROBBERY,ROBBERY incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.071673550483467,72.89099086754439
"FIR No. 0571/2023, P.S. Unknown",2023-11-01 04:47:00,ROBBERY,ROBBERY incident reported in Kolkata City,Kolkata City,False,Kolkata City,22.55187174532082,88.38049726247002
"FIR No. 0100/2024, P.S. Unknown",2024-05-30 16:06:00,THEFT,THEFT incident reported in Kolkata City,Kolkata City,True,Kolkata City,22.57056133579848,88.36031641029906
"FIR No. 0072/2023, P.S. Unknown",2023-01-30 04:53:00,ASSAULT,ASSAULT incident reported in Delhi NCR,Delhi NCR,False,Delhi NCR,28.611207163218943,77.21726579791056
"FIR No. 0097/2023, P.S. Unknown",2023-03-19 11:57:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.390861084106113,78.50359581447024
"FIR No. 0301/2026, P.S. Unknown",2026-07-20 07:13:00,OTHER,OTHER incident reported in Delhi NCR,Delhi NCR,False,Delhi NCR,28.63772727888044,77.21119273232264
80273900/2025,2025-11-10 15:56:00,OTHER,OTHER incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.101253343593225,72.88195067530228
"FIR No. 0173/2024, P.S. Unknown",2024-04-24 12:13:00,ASSAULT,ASSAULT incident reported in Kolkata City,Kolkata City,False,Kolkata City,22.57045764324047,88.35853021265143
"FIR No. 0222/2025, P.S. Unknown",2025-09-20 05:55:00,ASSAULT,ASSAULT incident reported in Chennai Metro,Chennai Metro,False,Chennai Metro,13.08042640915756,80.29455891414334
89548756/2026,2026-04-14 17:28:00,ASSAULT,ASSAULT incident reported in Chennai Metro,Chennai Metro,True,Chennai Metro,13.046371553854904,80.27110211081109
88246625/2023,2023-06-11 09:52:00,THEFT,THEFT incident reported in Kolkata City,Kolkata City,False,Kolkata City,22.562359454249936,88.39055023991646
"FIR No. 0015/2025, P.S. Unknown",2025-02-09 15:49:00,THEFT,THEFT incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.09580209925162,72.86489689243717
"FIR No. 0505/2024, P.S. Unknown",2024-06-23 05:47:00,THEFT,THEFT incident reported in Kolkata City,Kolkata City,False,Kolkata City,22.58690925434554,88.35049598979602
"FIR No. 0874/2024, P.S. Unknown",2024-08-16 08:39:00,THEFT,THEFT incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.965100078509089,77.6001145424816
"FIR No. 0478/2024, P.S. Unknown",2024-07-13 23:45:00,ROBBERY,ROBBERY incident reported in Delhi NCR,Delhi NCR,False,Delhi NCR,28.61985946539829,77.20921844168426
89005420/2026,2026-07-15 15:36:00,ASSAULT,ASSAULT incident reported in Delhi NCR,Delhi NCR,True,Delhi NCR,28.615516811334885,77.22075674685541
"FIR No. 0752/2023, P.S. Unknown",2023-10-11 02:13:00,CYBER,CYBER incident reported in Mumbai Metro,Mumbai Metro,True,Mumbai Metro,19.08662788399076,72.89776076869185
80920131/2025,2025-12-28 08:41:00,THEFT,THEFT incident reported in Mumbai Metro,Mumbai Metro,True,Mumbai Metro,19.07082859401147,72.88865654394586
"FIR No. 0168/2026, P.S. Unknown",2026-02-02 21:38:00,ASSAULT,ASSAULT incident reported in Hyderabad Metro,Hyderabad Metro,True,Hyderabad Metro,17.397697193616974,78.46933561168068
"FIR No. 0851/2023, P.S. Unknown",2023-10-16 22:44:00,ASSAULT,ASSAULT incident reported in Ahmedabad,Ahmedabad,False,Ahmedabad,23.01491098224616,72.57586668293611
"FIR No. 0118/2023, P.S. Unknown",2023-03-26 13:22:00,ASSAULT,ASSAULT incident reported in Mumbai Metro,Mumbai Metro,True,Mumbai Metro,19.08507992700799,72.85583650604372
"FIR No. 0433/2025, P.S. Unknown",2025-05-16 16:15:00,ASSAULT,ASSAULT incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.966092636064245,77.58614573794041
"FIR No. 0653/2023, P.S. Unknown",2023-11-05 18:36:00,ASSAULT,ASSAULT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.396055685142798,78.47287333594072
81721903/2023,2023-04-03 05:18:00,ROBBERY,ROBBERY incident reported in Ahmedabad,Ahmedabad,False,Ahmedabad,23.029949858962123,72.5590312707851
"FIR No. 0044/2025, P.S. Unknown",2025-08-24 03:07:00,CYBER,CYBER incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.96526927685427,77.60027483504415
"FIR No. 0010/2023, P.S. Unknown",2023-03-03 07:15:00,THEFT,THEFT incident reported in Ahmedabad,Ahmedabad,False,Ahmedabad,23.027340906430087,72.56222114770586
"FIR No. 0265/2026, P.S. Unknown",2026-06-01 02:04:00,THEFT,THEFT incident reported in Chennai Metro,Chennai Metro,False,Chennai Metro,13.08470734781875,80.2911286762242
"FIR No. 0109/2023, P.S. Unknown",2023-02-17 03:15:00,ROBBERY,ROBBERY incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.961532977792617,77.63107314930409
87227694/2024,2024-06-19 16:12:00,THEFT,THEFT incident reported in Bengaluru City,Bengaluru City,True,Bengaluru City,12.962195147649965,77.6058838518302
"FIR No. 0155/2026, P.S. Unknown",2026-04-29 18:27:00,ASSAULT,ASSAULT incident reported in Pune,Pune,False,Pune,18.52210187402176,73.85063740676203
"FIR No. 0263/2023, P.S. Unknown",2023-06-21 09:16:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.389976284744595,78.48297761573495
"FIR No. 0006/2025, P.S. Unknown",2025-03-31 03:35:00,THEFT,THEFT incident reported in Mumbai Metro,Mumbai Metro,False,Mumbai Metro,19.06943758842788,72.86937559971722
"FIR No. 0081/2024, P.S. Unknown",2024-02-23 23:29:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.372802803993643,78.49952554580034
80355990/2023,2023-10-09 03:13:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.389782810235673,78.45353594059854
"FIR No. 0310/2023, P.S. Unknown",2023-06-30 19:29:00,ASSAULT,ASSAULT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.41012665881571,78.49844163998507
83093625/2023,2023-10-18 04:53:00,THEFT,THEFT incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.973851169861437,77.5934500092203
"FIR No. 0017/2024, P.S. Unknown",2024-01-10 12:32:00,BURGLARY,BURGLARY incident reported in Chennai Metro,Chennai Metro,True,Chennai Metro,13.045267997445633,80.28524622767782
"FIR No. 0119/2023, P.S. Unknown",2023-12-27 02:47:00,THEFT,THEFT incident reported in Bengaluru City,Bengaluru City,False,Bengaluru City,12.984371916955723,77.59207355248344
"FIR No. 0156/2026, P.S. Unknown",2026-05-14 14:50:00,THEFT,THEFT incident reported in Hyderabad Metro,Hyderabad Metro,False,Hyderabad Metro,17.376918676184843,78.49505389687084
