ID,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
FIR-MUMBAI-2025-00000,2025-05-24 20:12:00,BURGLARY,BURGLARY incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.936703120511662,72.86261768372636
FIR-MUMBAI-2026-00001,2026-05-01 14:53:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),True,Western Suburbs (Bandra),19.07987525761309,72.84052904945375
FIR-MUMBAI-2023-00002,2023-12-12 00:13:00,THEFT,THEFT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.058208300578535,72.87447605290612
FIR-MUMBAI-2026-00003,2026-06-07 07:17:00,THEFT,THEFT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.045959729760323,72.83753736600863
FIR-MUMBAI-2023-00004,2023-10-22 14:16:00,CYBER,CYBER incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.058874571742784,72.8513831897523
FIR-MUMBAI-2025-00005,2025-08-23 13:01:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.91305156352321,72.84017378718143
FIR-MUMBAI-2024-00006,2024-11-29 17:07:00,ROBBERY,ROBBERY incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),18.988958880575872,72.82404593664937
FIR-MUMBAI-2025-00007,2025-07-09 02:02:00,ASSAULT,ASSAULT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.94268952386861,72.84299542970437
FIR-MUMBAI-2023-00008,2023-06-16 20:30:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.028527179281564,72.82360505096227
FIR-MUMBAI-2026-00009,2026-05-07 09:27:00,THEFT,THEFT incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),18.998924667670018,72.84710395766689
FIR-MUMBAI-2026-00010,2026-05-13 07:03:00,ROBBERY,ROBBERY incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.928677958505716,72.81266162649374
FIR-MUMBAI-2025-00011,2025-10-06 05:34:00,OTHER,OTHER incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.074548196626893,72.82740922040196
FIR-MUMBAI-2025-00012,2025-03-06 12:00:00,BURGLARY,BURGLARY incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),True,Western Suburbs (Bandra),19.056526052057936,72.82693122147089
FIR-MUMBAI-2025-00013,2025-12-03 18:03:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.890990717392956,72.83782088733933
FIR-MUMBAI-2025-00014,2025-04-26 22:02:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.122444699451062,72.83920467262114
FIR-MUMBAI-2023-00015,2023-04-14 13:38:00,THEFT,THEFT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.042458908047625,72.79745962502798
FIR-MUMBAI-2025-00016,2025-09-14 03:38:00,CYBER,CYBER incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.94013994716257,72.84817095406166
FIR-MUMBAI-2024-00017,2024-08-10 16:23:00,THEFT,THEFT incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.035206980635696,72.85771924083573
FIR-MUMBAI-2024-00018,2024-11-29 23:08:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.115766441192676,72.85137425812546
FIR-MUMBAI-2023-00019,2023-07-04 03:15:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.102961414753263,72.85164240731807
FIR-MUMBAI-2023-00020,2023-11-08 13:46:00,CYBER,CYBER incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.162230988430444,72.8573871311519
FIR-MUMBAI-2023-00021,2023-09-16 22:40:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.101429410900828,72.85379964424072
FIR-MUMBAI-2026-00022,2026-01-22 00:22:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.07262925111117,72.82161993088917
FIR-MUMBAI-2024-00023,2024-02-21 00:37:00,ROBBERY,ROBBERY incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.171207200298397,72.83033178909976
FIR-MUMBAI-2023-00024,2023-02-22 15:38:00,BURGLARY,BURGLARY incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),True,Eastern Suburbs (Kurla),19.058530401523267,72.89684303899935
FIR-MUMBAI-2023-00025,2023-10-14 03:02:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.9168290400202,72.84094508663371
FIR-MUMBAI-2025-00026,2025-05-22 09:27:00,BURGLARY,BURGLARY incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),True,Eastern Suburbs (Kurla),19.05826714254381,72.87696768263383
FIR-MUMBAI-2024-00027,2024-10-14 03:58:00,BURGLARY,BURGLARY incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),True,Central Mumbai (Dadar),19.027640783972345,72.84364782427721
FIR-MUMBAI-2023-00028,2023-01-15 20:16:00,THEFT,THEFT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.06581433026822,72.89091276502536
FIR-MUMBAI-2024-00029,2024-01-15 19:19:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.11904463255351,72.86084955466639
FIR-MUMBAI-2024-00030,2024-04-26 06:46:00,CYBER,CYBER incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.003377108390044,72.8428123492447
FIR-MUMBAI-2024-00031,2024-05-19 12:26:00,THEFT,THEFT incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.18737545261623,72.81484677733043
FIR-MUMBAI-2025-00032,2025-09-20 02:45:00,ROBBERY,ROBBERY incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.931482096494864,72.86291031567264
FIR-MUMBAI-2023-00033,2023-01-24 20:10:00,CYBER,CYBER incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.939602425227925,72.82070851802173
FIR-MUMBAI-2023-00034,2023-01-29 00:10:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.903510733236022,72.83088200066578
FIR-MUMBAI-2024-00035,2024-11-09 22:26:00,ASSAULT,ASSAULT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.91515630774872,72.81574018846187
FIR-MUMBAI-2023-00036,2023-10-26 07:22:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.947327532471732,72.83245922098081
FIR-MUMBAI-2024-00037,2024-09-18 01:02:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.13588334524029,72.83990213199375
FIR-MUMBAI-2024-00038,2024-10-25 04:11:00,OTHER,OTHER incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.050419285362203,72.89919911551534
FIR-MUMBAI-2026-00039,2026-06-25 16:09:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.108784994621647,72.84818693019785
FIR-MUMBAI-2023-00040,2023-03-09 01:48:00,THEFT,THEFT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.082667493353842,72.81912317662966
FIR-MUMBAI-2025-00041,2025-01-16 09:12:00,THEFT,THEFT incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.186628334954463,72.84935337996968
FIR-MUMBAI-2024-00042,2024-12-20 12:13:00,ASSAULT,ASSAULT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.070988527463427,72.86916270117892
FIR-MUMBAI-2023-00043,2023-02-22 00:38:00,ASSAULT,ASSAULT incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.00294823243837,72.85336326794744
FIR-MUMBAI-2023-00044,2023-02-21 17:01:00,BURGLARY,BURGLARY incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.123041027212924,72.84551234656384
FIR-MUMBAI-2023-00045,2023-11-07 15:26:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.144807866141893,72.85247057952974
FIR-MUMBAI-2025-00046,2025-11-04 04:04:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.146236153625217,72.84149530522139
FIR-MUMBAI-2023-00047,2023-07-06 04:13:00,CYBER,CYBER incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.03882600102696,72.88046109652518
FIR-MUMBAI-2024-00048,2024-03-20 22:37:00,THEFT,THEFT incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.02797181735237,72.87587774252887
FIR-MUMBAI-2025-00049,2025-10-21 07:06:00,THEFT,THEFT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),True,Western Suburbs (Bandra),19.047797853676357,72.8372116817351
FIR-MUMBAI-2026-00050,2026-01-18 17:02:00,THEFT,THEFT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.06526026911753,72.87673179818836
FIR-MUMBAI-2025-00051,2025-08-27 08:16:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.91776990970433,72.8463426030043
FIR-MUMBAI-2025-00052,2025-03-12 23:10:00,ROBBERY,ROBBERY incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.064305838734807,72.88849044736355
FIR-MUMBAI-2024-00053,2024-12-16 02:13:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.075050899243237,72.80833450352924
FIR-MUMBAI-2025-00054,2025-04-12 07:03:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.92285256397396,72.83364858429162
FIR-MUMBAI-2024-00055,2024-11-02 15:28:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.12585653893286,72.82202225406557
FIR-MUMBAI-2024-00056,2024-11-04 23:06:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.113111575126304,72.82092624336381
FIR-MUMBAI-2026-00057,2026-06-12 03:15:00,CYBER,CYBER incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.005665744641032,72.83525901512573
FIR-MUMBAI-2025-00058,2025-07-22 03:02:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.113599981076185,72.84348074103072
FIR-MUMBAI-2023-00059,2023-04-14 23:38:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.941987880154585,72.82405194008464
FIR-MUMBAI-2023-00060,2023-08-03 05:17:00,ROBBERY,ROBBERY incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.1583234959721,72.83395633868372
FIR-MUMBAI-2023-00061,2023-12-25 16:31:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.12204111686439,72.84013379952893
FIR-MUMBAI-2025-00062,2025-10-10 02:36:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.911862108196996,72.84287862498009
FIR-MUMBAI-2023-00063,2023-06-14 14:47:00,ROBBERY,ROBBERY incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.043280631897694,72.85320787059065
FIR-MUMBAI-2023-00064,2023-10-09 19:29:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.127278518599592,72.84291728683296
FIR-MUMBAI-2024-00065,2024-07-14 03:37:00,THEFT,THEFT incident reported in Western Suburbs (Bandra),Western Suburbs (Bandra),False,Western Suburbs (Bandra),19.0762726025957,72.83456557320545
FIR-MUMBAI-2023-00066,2023-03-08 23:09:00,THEFT,THEFT incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),False,Central Mumbai (Dadar),19.013976288840077,72.83807333452735
FIR-MUMBAI-2026-00067,2026-05-16 03:07:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),True,Western Suburbs (Andheri),19.150092765857103,72.827687641978
FIR-MUMBAI-2023-00068,2023-05-17 16:15:00,BURGLARY,BURGLARY incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.187197207910454,72.86058876519803
FIR-MUMBAI-2024-00069,2024-08-31 00:41:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.11587288565939,72.85819769719801
FIR-MUMBAI-2025-00070,2025-10-28 13:21:00,THEFT,THEFT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.086227948699506,72.85312281749107
FIR-MUMBAI-2024-00071,2024-06-26 09:18:00,BURGLARY,BURGLARY incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.940019386657546,72.86534799512339
FIR-MUMBAI-2026-00072,2026-03-30 04:01:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.93600985334968,72.808764233278
FIR-MUMBAI-2023-00073,2023-10-24 10:34:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.926236239804066,72.815451600323
FIR-MUMBAI-2024-00074,2024-05-09 11:27:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.0990049974826,72.88072459428228
FIR-MUMBAI-2023-00075,2023-06-03 01:21:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.076650883494327,72.83590812104336
FIR-MUMBAI-2024-00076,2024-06-21 08:37:00,BURGLARY,BURGLARY incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.08576887500338,72.875664650517
FIR-MUMBAI-2023-00077,2023-01-04 09:46:00,THEFT,THEFT incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),True,South Mumbai (Colaba/CST),18.944029855099732,72.82576511312531
FIR-MUMBAI-2023-00078,2023-02-22 04:01:00,ASSAULT,ASSAULT incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.189847316303112,72.85870517843115
FIR-MUMBAI-2024-00079,2024-08-01 06:30:00,ROBBERY,ROBBERY incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.92392293860631,72.84845328962551
FIR-MUMBAI-2025-00080,2025-04-13 00:25:00,THEFT,THEFT incident reported in Eastern Suburbs (Kurla),Eastern Suburbs (Kurla),False,Eastern Suburbs (Kurla),19.062268362969473,72.88445557871118
FIR-MUMBAI-2024-00081,2024-05-25 11:00:00,ASSAULT,ASSAULT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.123275501080567,72.83823519888668
FIR-MUMBAI-2023-00082,2023-08-08 06:32:00,THEFT,THEFT incident reported in Western Suburbs (Andheri),Western Suburbs (Andheri),False,Western Suburbs (Andheri),19.11151231179949,72.8771857128647
FIR-MUMBAI-2026-00083,2026-01-15 21:50:00,BURGLARY,BURGLARY incident reported in Central Mumbai (Dadar),Central Mumbai (Dadar),True,Central Mumbai (Dadar),19.023964994678426,72.83302895538228
FIR-MUMBAI-2024-00084,2024-06-30 14:11:00,CYBER,CYBER incident reported in South Mumbai (Colaba/CST),South Mumbai (Colaba/CST),False,South Mumbai (Colaba/CST),18.915629628575523,72.82291403165513
FIR-MUMBAI-2025-00085,2025-03-16 15:38:00,THEFT,THEFT incident reported in Northern Suburbs (Malad),Northern Suburbs (Malad),False,Northern Suburbs (Malad),19.15370713112448,72.87260966603046
